CIF_id,Compound,Central atom,Coordination number,A atom count in CN,B atom count in CN,Volume of polyhedron,Distance from central atom to center of mass,Number of edges,Number of faces,Shortest distance to center of any face,Shortest distance to center of any edge,Volume of the inscribed sphere,Packing efficiency of inscribed sphere in polyhedron
250334,GdPd3,Gd1,12,0,12,57.174,0.0,12,8,2.1576,2.0469,42.074,0.6046
250334,GdPd3,Pd1,12,4,8,57.174,0.0,30,20,2.1576,2.0469,42.074,0.7359
250335,TbPd3,Pd1,12,4,8,56.4855,0.0,30,20,2.1489,2.0386,41.5673,0.7359
250335,TbPd3,Tb1,12,0,12,56.4855,0.0,12,8,2.1489,2.0386,41.5673,0.6046
250336,DyPd3,Dy1,12,0,12,56.1164,0.0,12,8,2.1442,2.0342,41.2957,0.6046
250336,DyPd3,Pd1,12,4,8,56.1164,0.0,30,20,2.1442,2.0342,41.2957,0.7359
250337,HoPd3,Ho1,12,0,12,55.852,0.0,12,8,2.1409,2.031,41.1011,0.6046
250337,HoPd3,Pd1,12,4,8,55.852,0.0,30,20,2.1409,2.031,41.1011,0.7359
250338,ErPd3,Er1,12,0,12,55.5308,0.0,12,8,2.1368,2.0271,40.8648,0.6046
250338,ErPd3,Pd1,12,4,8,55.5308,0.0,30,20,2.1368,2.0271,40.8648,0.7359
